PrimaryDI|submissionNumber|supplementNumber
00842188122491|K050681|000
00842188122484|K050681|000
00842188122477|K050681|000
00842188122460|K050681|000
00842188122453|K050681|000
00842188122446|K050681|000
00842188122439|K050681|000
00842188122422|K050681|000
00842188122415|K050681|000
00842188122408|K050681|000
00842188122392|K050681|000
00842188122385|K050681|000
00842188122378|K050681|000
00842188122361|K050681|000
00842188122354|K050681|000
00842188122347|K050681|000
00842188122330|K050681|000
00842188122323|K050681|000
00842188122316|K050681|000
00842188122309|K050681|000
00842188122293|K050681|000
00842188122286|K050681|000
00842188122279|K050681|000
00842188122262|K050681|000
00842188122255|K050681|000
00842188122248|K050681|000
00842188122231|K050681|000
00842188122224|K050681|000
00842188122217|K050681|000
00842188122200|K050681|000
00842188122194|K050681|000
00842188122187|K050681|000
00842188122170|K050681|000
00842188122163|K050681|000
00842188122156|K050681|000
00842188122149|K050681|000
00842188122132|K050681|000
00842188122125|K050681|000
00842188122118|K050681|000
00842188122101|K050681|000
00842188122095|K050681|000
00842188122088|K050681|000
00842188122071|K050681|000
00842188122064|K050681|000
00842188122057|K050681|000
00842188122040|K050681|000
00842188122033|K050681|000
00842188122026|K050681|000
00842188122019|K050681|000
00842188122002|K050681|000
00842188121999|K050681|000
00842188121982|K050681|000
00842188121975|K050681|000
00842188121968|K050681|000
00842188121951|K050681|000
00842188121944|K050681|000
00842188121937|K050681|000
00842188121920|K050681|000
00842188121913|K050681|000
00842188121906|K050681|000
00842188121890|K050681|000
00842188121883|K050681|000
00842188121876|K050681|000
00842188121869|K050681|000
00842188121852|K050681|000
00842188121845|K050681|000
00842188121838|K050681|000
00842188121821|K050681|000
00842188121814|K050681|000
00842188121807|K050681|000
00842188121791|K050681|000
00842188121784|K050681|000
00842188121777|K050681|000
00842188121760|K050681|000
00842188121753|K050681|000
00842188121746|K050681|000
00842188121739|K050681|000
00842188121722|K050681|000
00842188121715|K050681|000
00842188121708|K050681|000
00842188121692|K050681|000
00842188121685|K050681|000
00842188121678|K050681|000
00842188121661|K093676|000
00842188121654|K093676|000
00842188121647|K093676|000
00842188121630|K093676|000
00842188121111|K192696|000
00842188121104|K192696|000
00842188121098|K192696|000
00842188121081|K192696|000
00842188121074|K192696|000
00842188121067|K192696|000
00842188121050|K192696|000
00842188121043|K192696|000
00842188121036|K192696|000
00842188121029|K192696|000
00842188121012|K192696|000
00842188121005|K192696|000
00842188120992|K192696|000
00842188120985|K192696|000
00842188120978|K192696|000
00842188120961|K192696|000
00842188120954|K192696|000
00842188120947|K192696|000
00842188120930|K192696|000
00842188120923|K192696|000
00842188120916|K192696|000
00842188120909|K192696|000
00842188120893|K192696|000
00842188120886|K192696|000
00842188120879|K192696|000
00842188120862|K192696|000
