PrimaryDI|sizeType|size (Unit)|size (Value)|sizeText
00842289100206|Length|Inch|0.6|
00842289100206|Needle Gauge|Gauge|17|
00842289100190|Length|Inch|0.6|
00842289100190|Needle Gauge|Gauge|17|
00842289100183|Length|Inch|0.6|
00842289100183|Needle Gauge|Gauge|17|
00842289100176|Length|Inch|0.6|
00842289100176|Needle Gauge|Gauge|16|
00842289100169|Length|Inch|0.6|
00842289100169|Needle Gauge|Gauge|16|
00842289100152|Length|Inch|0.6|
00842289100152|Needle Gauge|Gauge|16|
00842289100145|Length|Inch|0.6|
00842289100145|Needle Gauge|Gauge|15|
00842289100138|Length|Inch|0.6|
00842289100138|Needle Gauge|Gauge|15|
00842289100121|Length|Inch|0.6|
00842289100121|Needle Gauge|Gauge|15|
00842289100114|Length|Inch|1|
00842289100114|Needle Gauge|Gauge|17|
00842289100107|Length|Inch|1|
00842289100107|Needle Gauge|Gauge|17|
00842289100091|Length|Inch|1|
00842289100091|Needle Gauge|Gauge|17|
00842289100084|Length|Inch|1|
00842289100084|Needle Gauge|Gauge|16|
00842289100077|Length|Inch|1|
00842289100077|Needle Gauge|Gauge|16|
00842289100060|Length|Inch|1|
00842289100060|Needle Gauge|Gauge|16|
00842289100053|Length|Inch|1|
00842289100053|Needle Gauge|Gauge|14|
00842289100046|Length|Inch|1|
00842289100046|Needle Gauge|Gauge|14|
00842289100039|Length|Inch|1|
00842289100039|Needle Gauge|Gauge|15|
00842289100022|Length|Inch|1|
00842289100022|Needle Gauge|Gauge|15|
00842289100015|Length|Inch|1|
00842289100015|Needle Gauge|Gauge|15|
00842289100008|Length|Inch|1|
00842289100008|Needle Gauge|Gauge|14|
00842209121328|Outer Diameter|Millimeter|8.0|
00842209107346|Total Volume|Milliliter|10|
00842209107315|Outer Diameter|Millimeter|8.0|
00842209105021|Lumen/Inner Diameter|Millimeter|6.0|
00842209101832|Catheter Gauge|French|28|
