PrimaryDI|storageHandlingType|storageHandlingHigh (Unit)|storageHandlingHigh (Value)|storageHandlingLow (Unit)|storageHandlingLow (Value)|storageHandlingSpecialConditionText
00842289100299|Special Storage Condition, Specify|||||Keep dry
00842289100299|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100282|Special Storage Condition, Specify|||||Keep dry
00842289100282|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100275|Special Storage Condition, Specify|||||Keep dry
00842289100275|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100268|Special Storage Condition, Specify|||||Keep dry
00842289100268|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100251|Special Storage Condition, Specify|||||Keep dry
00842289100251|Storage Environment Humidity|Degrees Celsius|40|Degrees Celsius|0|
00842289100244|Special Storage Condition, Specify|||||Keep dry
00842289100244|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100237|Special Storage Condition, Specify|||||Keep dry
00842289100237|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100220|Special Storage Condition, Specify|||||Keep dry
00842289100220|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100213|Special Storage Condition, Specify|||||Keep dry
00842289100213|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100206|Special Storage Condition, Specify|||||Keep dry
00842289100206|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100190|Special Storage Condition, Specify|||||Keep dry
00842289100190|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100183|Special Storage Condition, Specify|||||Keep dry
00842289100183|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100176|Special Storage Condition, Specify|||||Keep dry
00842289100176|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100169|Special Storage Condition, Specify|||||Keep dry
00842289100169|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100152|Special Storage Condition, Specify|||||Keep dry
00842289100152|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100145|Special Storage Condition, Specify|||||Keep dry
00842289100145|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100138|Special Storage Condition, Specify|||||Keep Dry
00842289100138|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100121|Special Storage Condition, Specify|||||Keep dry
00842289100121|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100114|Special Storage Condition, Specify|||||Keep dry
00842289100114|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100107|Special Storage Condition, Specify|||||Keep dry
00842289100107|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100091|Special Storage Condition, Specify|||||Keep dry
00842289100091|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100084|Special Storage Condition, Specify|||||Keep dry
00842289100084|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100077|Special Storage Condition, Specify|||||keep dry
00842289100077|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100060|Special Storage Condition, Specify|||||keep dry
00842289100060|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100053|Special Storage Condition, Specify|||||Keep dry
00842289100053|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100046|Special Storage Condition, Specify|||||Keep dry
00842289100046|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100039|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100022|Special Storage Condition, Specify|||||Keep dry
00842289100022|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100015|Special Storage Condition, Specify|||||Keep dry
00842289100015|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100008|Special Storage Condition, Specify|||||Keep dry
00842289100008|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
